Datum,1NP901A
1.8.1998. 00:00:00,74.54
5.8.1998. 00:00:00,74.54
10.8.1998. 00:00:00,74.52
15.8.1998. 00:00:00,74.49
20.8.1998. 00:00:00,74.49
25.8.1998. 00:00:00,74.49
1.9.1998. 00:00:00,74.49
5.9.1998. 00:00:00,74.49
10.9.1998. 00:00:00,74.48
15.9.1998. 00:00:00,74.47
20.9.1998. 00:00:00,74.47
25.9.1998. 00:00:00,74.47
1.10.1998. 00:00:00,74.47
5.10.1998. 00:00:00,74.47
10.10.1998. 00:00:00,74.47
15.10.1998. 00:00:00,74.44
20.10.1998. 00:00:00,74.44
25.10.1998. 00:00:00,74.44
1.11.1998. 00:00:00,74.44
5.11.1998. 00:00:00,74.44
10.11.1998. 00:00:00,74.42
15.11.1998. 00:00:00,74.42
20.11.1998. 00:00:00,74.41
25.11.1998. 00:00:00,74.39
1.12.1998. 00:00:00,74.39
5.12.1998. 00:00:00,74.4
10.12.1998. 00:00:00,74.4
15.12.1998. 00:00:00,74.38
20.12.1998. 00:00:00,74.39
25.12.1998. 00:00:00,74.41
1.1.1999. 00:00:00,74.44
5.1.1999. 00:00:00,74.44
10.1.1999. 00:00:00,74.37
15.1.1999. 00:00:00,74.37
20.1.1999. 00:00:00,74.36
25.1.1999. 00:00:00,74.34
1.2.1999. 00:00:00,74.34
5.2.1999. 00:00:00,74.33
10.2.1999. 00:00:00,74.34
15.2.1999. 00:00:00,74.36
20.2.1999. 00:00:00,74.36
25.2.1999. 00:00:00,74.36
1.3.1999. 00:00:00,74.36
5.3.1999. 00:00:00,74.36
10.3.1999. 00:00:00,74.34
15.3.1999. 00:00:00,74.34
20.3.1999. 00:00:00,74.32
25.3.1999. 00:00:00,74.34
1.4.1999. 00:00:00,74.34
5.4.1999. 00:00:00,74.36
10.4.1999. 00:00:00,74.34
15.4.1999. 00:00:00,74.4
20.4.1999. 00:00:00,74.38
25.4.1999. 00:00:00,74.38
1.5.1999. 00:00:00,74.34
5.5.1999. 00:00:00,74.36
10.5.1999. 00:00:00,74.34
15.5.1999. 00:00:00,74.4
20.5.1999. 00:00:00,74.38
25.5.1999. 00:00:00,74.38
1.6.1999. 00:00:00,74.38
5.6.1999. 00:00:00,74.37
10.6.1999. 00:00:00,74.34
15.6.1999. 00:00:00,74.28
20.6.1999. 00:00:00,74.28
25.6.1999. 00:00:00,74.24
1.7.1999. 00:00:00,74.23
5.7.1999. 00:00:00,74.23
