Datum,1NPPL-111
28.3.2009. 00:00:00,317
29.3.2009. 00:00:00,319
30.3.2009. 00:00:00,323
31.3.2009. 00:00:00,310
1.4.2009. 00:00:00,300
2.4.2009. 00:00:00,314
3.4.2009. 00:00:00,315
4.4.2009. 00:00:00,288
5.4.2009. 00:00:00,268
6.4.2009. 00:00:00,268
7.4.2009. 00:00:00,275
8.4.2009. 00:00:00,272
9.4.2009. 00:00:00,264
10.4.2009. 00:00:00,260
11.4.2009. 00:00:00,257
12.4.2009. 00:00:00,256
13.4.2009. 00:00:00,261
14.4.2009. 00:00:00,268
15.4.2009. 00:00:00,271
16.4.2009. 00:00:00,271
17.4.2009. 00:00:00,269
18.4.2009. 00:00:00,275
19.4.2009. 00:00:00,278
20.4.2009. 00:00:00,280
21.4.2009. 00:00:00,284
22.4.2009. 00:00:00,286
23.4.2009. 00:00:00,287
24.4.2009. 00:00:00,287
25.4.2009. 00:00:00,290
26.4.2009. 00:00:00,293
27.4.2009. 00:00:00,306
28.4.2009. 00:00:00,317
29.4.2009. 00:00:00,322
30.4.2009. 00:00:00,324
1.5.2009. 00:00:00,332
2.5.2009. 00:00:00,341
3.5.2009. 00:00:00,346
4.5.2009. 00:00:00,337
5.5.2009. 00:00:00,344
6.5.2009. 00:00:00,350
7.5.2009. 00:00:00,354
8.5.2009. 00:00:00,358
9.5.2009. 00:00:00,361
10.5.2009. 00:00:00,364
11.5.2009. 00:00:00,365
12.5.2009. 00:00:00,366
13.5.2009. 00:00:00,365
14.5.2009. 00:00:00,367
15.5.2009. 00:00:00,369
16.5.2009. 00:00:00,373
17.5.2009. 00:00:00,375
18.5.2009. 00:00:00,372
19.5.2009. 00:00:00,373
20.5.2009. 00:00:00,372
21.5.2009. 00:00:00,373
22.5.2009. 00:00:00,375
23.5.2009. 00:00:00,374
24.5.2009. 00:00:00,371
25.5.2009. 00:00:00,366
26.5.2009. 00:00:00,369
27.5.2009. 00:00:00,371
28.5.2009. 00:00:00,368
29.5.2009. 00:00:00,372
30.5.2009. 00:00:00,373
31.5.2009. 00:00:00,375
